# Nyra comparison — runtime + memory benchmark
# Generated: 2026-06-23T21:27:07Z
# Runs per command: 5 (warmup 1 discarded)
# Time: mean wall clock in milliseconds (lower is better)
# Memory: peak max RSS in KB during timed runs (lower is better)
# Binary size: hello-world release / stripped / UPX (see binary-size.tsv)
# Platform: Darwin arm64
# Nyra build: release; cpu_bound_pgo=release+pgo; Nyra flags: --no-prelude, -march=native (host release default)
# Isolation: languages run in isolation (BENCH_LANG_COOLDOWN=2s between langs)
# Compiled langs: -O3 -flto=thin (Nyra --release, clang/clang++/rustc aligned)
# Note: Nyra/C/C++/Go/Rust/Java = compiled; Node/Python = runtime interpreters


Nyra appears twice:

  • Nyra (Zero Types)
  • Nyra (Explicit Types)

Both generate native code.

The benchmark demonstrates that Zero Types introduces no measurable runtime overhead.

| Suite        | Language               | Time (ms) | Memory     |
     • Nyra (Zero Types) uses 3.3× less RAM than Go (peak RSS).
     • Nyra (Zero Types) is 1.32× faster than Rust on this suite.
     • Nyra (Explicit Types) is 1.11× faster than C on this suite.
     • Nyra (Explicit Types) is 1.10× faster than C++ on this suite.
     • Nyra (Explicit Types) is 1.10× faster than Go on this suite.
     • Nyra (Explicit Types) uses 3.3× less RAM than Go (peak RSS).
     • Nyra (Explicit Types) is 1.32× faster than Rust on this suite.

## nested
   2D nested loop (4000×4000, mod 1e9+7)
   Fastest: Nyra (Zero Types) (52.33 ms)
   Slowest: Rust (68.82 ms)
   Lowest RAM: Nyra (Zero Types) (1.02 MB)
   Highest RAM: Go (3.39 MB)
   Average: 57.94 ms, 1.45 MB across 6 languages

   Language                  Time (ms)  Time #  vs best       Peak RSS  RAM #  vs best
   ------------------------------------------------------------------------------
   Nyra (Zero Types)           52.3344       1    1.00x        1.02 MB      1    1.00x
   Nyra (Explicit Types)       52.4884       2    1.00x        1.02 MB      2    1.00x
   C++                         57.6682       3    1.10x        1.03 MB      4    1.02x
   C                           57.8440       4    1.11x        1.02 MB      3    1.00x
   Go                          58.5008       5    1.12x        3.39 MB      6    3.34x
   Rust                        68.8196       6    1.31x        1.23 MB      5    1.22x
   Insights:
     • Fastest runtime: Nyra (Zero Types) (52.33 ms mean)
     • Lowest peak memory: Nyra (Zero Types) (1.02 MB)
     • Nyra (Zero Types) is 1.11× faster than C on this suite.
     • Nyra (Zero Types) is 1.10× faster than C++ on this suite.
     • Nyra (Zero Types) is 1.12× faster than Go on this suite.
     • Nyra (Zero Types) uses 3.3× less RAM than Go (peak RSS).
     • Nyra (Zero Types) is 1.31× faster than Rust on this suite.
     • Nyra (Explicit Types) is 1.10× faster than C on this suite.
     • Nyra (Explicit Types) is 1.10× faster than C++ on this suite.
     • Nyra (Explicit Types) is 1.11× faster than Go on this suite.
     • Nyra (Explicit Types) uses 3.3× less RAM than Go (peak RSS).
     • Nyra (Explicit Types) is 1.31× faster than Rust on this suite.

## struct_sum
   Struct field access hot loop (80M)
   Fastest: Nyra (Explicit Types) (2.08 ms)
   Slowest: Go (28.76 ms)
   Lowest RAM: Nyra (Zero Types) (1.02 MB)
   Highest RAM: Go (3.58 MB)
   Average: 6.63 ms, 1.47 MB across 6 languages

   Language                  Time (ms)  Time #  vs best       Peak RSS  RAM #  vs best
   ------------------------------------------------------------------------------
   Nyra (Explicit Types)        2.0816       1    1.00x        1.02 MB      2    1.00x
   Nyra (Zero Types)            2.0914       2    1.00x        1.02 MB      1    1.00x
   C                            2.1280       3    1.02x        1.02 MB      3    1.00x
   C++                          2.1645       4    1.04x        1.03 MB      4    1.02x
   Rust                         2.5545       5    1.23x        1.17 MB      5    1.15x
   Go                          28.7644       6   13.82x        3.58 MB      6    3.52x
   Insights:
     • Fastest runtime: Nyra (Explicit Types) (2.08 ms mean)
     • Lowest peak memory: Nyra (Zero Types) (1.02 MB)
     • Nyra (Zero Types) is 1.03× faster than C++ on this suite.
     • Nyra (Zero Types) is 13.75× faster than Go on this suite.
     • Nyra (Zero Types) uses 3.5× less RAM than Go (peak RSS).
     • Nyra (Zero Types) is 1.22× faster than Rust on this suite.
     • Nyra (Explicit Types) is 1.02× faster than C on this suite.
     • Nyra (Explicit Types) is 1.04× faster than C++ on this suite.
     • Nyra (Explicit Types) is 13.82× faster than Go on this suite.
     • Nyra (Explicit Types) uses 3.5× less RAM than Go (peak RSS).
     • Nyra (Explicit Types) is 1.23× faster than Rust on this suite.

## dungeon
   Multi-file Dungeon Steps app
   Fastest: Nyra (Explicit Types) (2.07 ms)
   Slowest: Go (2.93 ms)
   Lowest RAM: Nyra (Zero Types) (1.02 MB)
   Highest RAM: Go (3.36 MB)
   Average: 2.36 ms, 1.43 MB across 6 languages

   Language                  Time (ms)  Time #  vs best       Peak RSS  RAM #  vs best
   ------------------------------------------------------------------------------
   Nyra (Explicit Types)        2.0690       1    1.00x        1.02 MB      2    1.00x
   Nyra (Zero Types)            2.1290       2    1.03x        1.02 MB      1    1.00x
   C                            2.1721       3    1.05x        1.02 MB      3    1.00x
   C++                          2.3036       4    1.11x        1.03 MB      4    1.02x
   Rust                         2.5663       5    1.24x        1.17 MB      5    1.15x
   Go                           2.9256       6    1.41x        3.36 MB      6    3.31x
   Insights:
     • Fastest runtime: Nyra (Explicit Types) (2.07 ms mean)
     • Lowest peak memory: Nyra (Zero Types) (1.02 MB)
     • Nyra (Zero Types) is 1.08× faster than C++ on this suite.
     • Nyra (Zero Types) is 1.37× faster than Go on this suite.
     • Nyra (Zero Types) uses 3.3× less RAM than Go (peak RSS).
     • Nyra (Zero Types) is 1.21× faster than Rust on this suite.
     • Nyra (Explicit Types) is 1.05× faster than C on this suite.
     • Nyra (Explicit Types) is 1.11× faster than C++ on this suite.
     • Nyra (Explicit Types) is 1.41× faster than Go on this suite.
     • Nyra (Explicit Types) uses 3.3× less RAM than Go (peak RSS).
     • Nyra (Explicit Types) is 1.24× faster than Rust on this suite.

## cpu_bound
   Mod mul-add chain (180M, mod 997)
   Fastest: C (462.57 ms)
   Slowest: Rust (865.38 ms)
   Lowest RAM: Nyra (Zero Types) (1.02 MB)
   Highest RAM: Go (3.55 MB)
   Average: 665.30 ms, 1.48 MB across 6 languages

   Language                  Time (ms)  Time #  vs best       Peak RSS  RAM #  vs best
   ------------------------------------------------------------------------------
   C                          462.5680       1    1.00x        1.03 MB      3    1.02x
   C++                        467.6940       2    1.01x        1.03 MB      4    1.02x
   Go                         579.0500       3    1.25x        3.55 MB      6    3.49x
   Nyra (Zero Types)          808.2440       4    1.75x        1.02 MB      1    1.00x
   Nyra (Explicit Types)      808.8380       5    1.75x        1.02 MB      2    1.00x
   Rust                       865.3800       6    1.87x        1.23 MB      5    1.22x
   Insights:
     • Fastest runtime: C (462.57 ms mean)
     • Lowest peak memory: Nyra (Zero Types) (1.02 MB)
     • C is 1.75× faster than Nyra (Zero Types) on this suite.
     • C++ is 1.73× faster than Nyra (Zero Types) on this suite.
     • Go is 1.40× faster than Nyra (Zero Types) on this suite.
     • Nyra (Zero Types) uses 3.5× less RAM than Go (peak RSS).
     • Nyra (Zero Types) is 1.07× faster than Rust on this suite.
     • C is 1.75× faster than Nyra (Explicit Types) on this suite.
     • C++ is 1.73× faster than Nyra (Explicit Types) on this suite.
     • Go is 1.40× faster than Nyra (Explicit Types) on this suite.
     • Nyra (Explicit Types) uses 3.5× less RAM than Go (peak RSS).
     • Nyra (Explicit Types) is 1.07× faster than Rust on this suite.

## mix
   Chained mod mix (270M, mod 1e9+7)
   Fastest: Nyra (Zero Types) (1,527.70 ms)
   Slowest: Rust (1,990.35 ms)
   Lowest RAM: Nyra (Zero Types) (1.02 MB)
   Highest RAM: Go (3.55 MB)
   Average: 1,742.36 ms, 1.48 MB across 6 languages

   Language                  Time (ms)  Time #  vs best       Peak RSS  RAM #  vs best
   ------------------------------------------------------------------------------
   Nyra (Zero Types)         1527.7020       1    1.00x        1.02 MB      1    1.00x
   Nyra (Explicit Types)     1528.7700       2    1.00x        1.02 MB      2    1.00x
   C                         1797.8000       3    1.18x        1.02 MB      3    1.00x
   C++                       1803.3820       4    1.18x        1.03 MB      4    1.02x
   Go                        1806.1780       5    1.18x        3.55 MB      6    3.49x
   Rust                      1990.3540       6    1.30x        1.23 MB      5    1.22x
   Insights:
     • Fastest runtime: Nyra (Zero Types) (1,527.70 ms mean)
     • Lowest peak memory: Nyra (Zero Types) (1.02 MB)
     • Nyra (Zero Types) is 1.18× faster than C on this suite.
     • Nyra (Zero Types) is 1.18× faster than C++ on this suite.
     • Nyra (Zero Types) is 1.18× faster than Go on this suite.
     • Nyra (Zero Types) uses 3.5× less RAM than Go (peak RSS).
     • Nyra (Zero Types) is 1.30× faster than Rust on this suite.
     • Nyra (Explicit Types) is 1.18× faster than C on this suite.
     • Nyra (Explicit Types) is 1.18× faster than C++ on this suite.
     • Nyra (Explicit Types) is 1.18× faster than Go on this suite.
     • Nyra (Explicit Types) uses 3.5× less RAM than Go (peak RSS).
     • Nyra (Explicit Types) is 1.30× faster than Rust on this suite.

## loop_nofold
   Modular sum anti-constant-fold (N=375M)
   Fastest: Nyra (Explicit Types) (1,177.71 ms)
   Slowest: Rust (1,544.61 ms)
   Lowest RAM: Nyra (Zero Types) (1.02 MB)
   Highest RAM: Go (3.55 MB)
   Average: 1,299.79 ms, 1.48 MB across 6 languages

   Language                  Time (ms)  Time #  vs best       Peak RSS  RAM #  vs best
   ------------------------------------------------------------------------------
   Nyra (Explicit Types)     1177.7120       1    1.00x        1.02 MB      2    1.00x
   Nyra (Zero Types)         1178.3440       2    1.00x        1.02 MB      1    1.00x
   C                         1295.3520       3    1.10x        1.03 MB      3    1.02x
   Go                        1296.7100       4    1.10x        3.55 MB      6    3.49x
   C++                       1306.0240       5    1.11x        1.03 MB      4    1.02x
   Rust                      1544.6120       6    1.31x        1.23 MB      5    1.22x
   Insights:
     • Fastest runtime: Nyra (Explicit Types) (1,177.71 ms mean)
     • Lowest peak memory: Nyra (Zero Types) (1.02 MB)
     • Nyra (Zero Types) is 1.10× faster than C on this suite.
     • Nyra (Zero Types) is 1.11× faster than C++ on this suite.
     • Nyra (Zero Types) is 1.10× faster than Go on this suite.
     • Nyra (Zero Types) uses 3.5× less RAM than Go (peak RSS).
     • Nyra (Zero Types) is 1.31× faster than Rust on this suite.
     • Nyra (Explicit Types) is 1.10× faster than C on this suite.
     • Nyra (Explicit Types) is 1.11× faster than C++ on this suite.
     • Nyra (Explicit Types) is 1.10× faster than Go on this suite.
     • Nyra (Explicit Types) uses 3.5× less RAM than Go (peak RSS).
     • Nyra (Explicit Types) is 1.31× faster than Rust on this suite.

## memory_alloc_struct
   malloc/free struct nodes (500k default, BENCH_SCALE)
   Fastest: C (4.00 ms)
   Slowest: Nyra (Explicit Types) (11.86 ms)
   Lowest RAM: C (1.02 MB)
   Highest RAM: Go (3.52 MB)
   Average: 7.45 ms, 1.57 MB across 5 languages

   Language                  Time (ms)  Time #  vs best       Peak RSS  RAM #  vs best
   ------------------------------------------------------------------------------
   C                            4.0010       1    1.00x        1.02 MB      1    1.00x
   Rust                         4.6745       2    1.17x        1.23 MB      4    1.22x
   Go                           5.4047       3    1.35x        3.52 MB      5    3.46x
   Nyra (Zero Types)           11.3199       4    2.83x        1.05 MB      2    1.03x
   Nyra (Explicit Types)       11.8550       5    2.96x        1.05 MB      3    1.03x
   Insights:
     • Fastest runtime: C (4.00 ms mean)
     • Lowest peak memory: C (1.02 MB)
     • C is 2.83× faster than Nyra (Zero Types) on this suite.
     • Go is 2.09× faster than Nyra (Zero Types) on this suite.
     • Nyra (Zero Types) uses 3.4× less RAM than Go (peak RSS).
     • Rust is 2.42× faster than Nyra (Zero Types) on this suite.
     • C is 2.96× faster than Nyra (Explicit Types) on this suite.
     • Go is 2.19× faster than Nyra (Explicit Types) on this suite.
     • Nyra (Explicit Types) uses 3.4× less RAM than Go (peak RSS).
     • Rust is 2.54× faster than Nyra (Explicit Types) on this suite.

## memory_free_struct
   alloc+free 16 B blocks
   Fastest: C (3.90 ms)
   Slowest: Nyra (Explicit Types) (11.81 ms)
   Lowest RAM: C (1.02 MB)
   Highest RAM: Go (3.47 MB)
   Average: 7.95 ms, 1.65 MB across 4 languages

   Language                  Time (ms)  Time #  vs best       Peak RSS  RAM #  vs best
   ------------------------------------------------------------------------------
   C                            3.9026       1    1.00x        1.02 MB      1    1.00x
   Go                           5.0280       2    1.29x        3.47 MB      4    3.42x
   Nyra (Zero Types)           11.0756       3    2.84x        1.08 MB      3    1.06x
   Nyra (Explicit Types)       11.8094       4    3.03x        1.05 MB      2    1.03x
   Insights:
     • Fastest runtime: C (3.90 ms mean)
     • Lowest peak memory: C (1.02 MB)
     • C is 2.84× faster than Nyra (Zero Types) on this suite.
     • Go is 2.20× faster than Nyra (Zero Types) on this suite.
     • Nyra (Zero Types) uses 3.2× less RAM than Go (peak RSS).
     • C is 3.03× faster than Nyra (Explicit Types) on this suite.
     • Go is 2.35× faster than Nyra (Explicit Types) on this suite.
     • Nyra (Explicit Types) uses 3.3× less RAM than Go (peak RSS).

## memory_arena
   bump arena simulation
   Fastest: C (3.93 ms)
   Slowest: Go (5.33 ms)
   Lowest RAM: Nyra (Zero Types) (1.02 MB)
   Highest RAM: Go (3.52 MB)
   Average: 4.57 ms, 1.64 MB across 4 languages

   Language                  Time (ms)  Time #  vs best       Peak RSS  RAM #  vs best
   ------------------------------------------------------------------------------
   C                            3.9280       1    1.00x        1.02 MB      3    1.00x
   Nyra (Zero Types)            4.3540       2    1.11x        1.02 MB      1    1.00x
   Nyra (Explicit Types)        4.6841       3    1.19x        1.02 MB      2    1.00x
   Go                           5.3298       4    1.36x        3.52 MB      4    3.46x
   Insights:
     • Fastest runtime: C (3.93 ms mean)
     • Lowest peak memory: Nyra (Zero Types) (1.02 MB)
     • C is 1.11× faster than Nyra (Zero Types) on this suite.
     • Nyra (Zero Types) is 1.22× faster than Go on this suite.
     • Nyra (Zero Types) uses 3.5× less RAM than Go (peak RSS).
     • C is 1.19× faster than Nyra (Explicit Types) on this suite.
     • Nyra (Explicit Types) is 1.14× faster than Go on this suite.
     • Nyra (Explicit Types) uses 3.5× less RAM than Go (peak RSS).

## memory_ownership
   struct pass-by-value hot loop
   Fastest: Nyra (Zero Types) (3.72 ms)
   Slowest: Go (5.26 ms)
   Lowest RAM: Nyra (Zero Types) (1.02 MB)
   Highest RAM: Go (3.47 MB)
   Average: 4.27 ms, 1.63 MB across 4 languages

   Language                  Time (ms)  Time #  vs best       Peak RSS  RAM #  vs best
   ------------------------------------------------------------------------------
   Nyra (Zero Types)            3.7169       1    1.00x        1.02 MB      1    1.00x
   C                            4.0266       2    1.08x        1.02 MB      3    1.00x
   Nyra (Explicit Types)        4.0945       3    1.10x        1.02 MB      2    1.00x
   Go                           5.2583       4    1.41x        3.47 MB      4    3.42x
   Insights:
     • Fastest runtime: Nyra (Zero Types) (3.72 ms mean)
     • Lowest peak memory: Nyra (Zero Types) (1.02 MB)
     • Nyra (Zero Types) is 1.08× faster than C on this suite.
     • Nyra (Zero Types) is 1.41× faster than Go on this suite.
     • Nyra (Zero Types) uses 3.4× less RAM than Go (peak RSS).
     • Nyra (Explicit Types) is 1.28× faster than Go on this suite.
     • Nyra (Explicit Types) uses 3.4× less RAM than Go (peak RSS).

## strings_concat
   strcat chain
   Fastest: Go (309.28 ms)
   Slowest: Nyra (Explicit Types) (1,526.90 ms)
   Lowest RAM: Go (17.33 MB)
   Highest RAM: Nyra (Explicit Types) (3310.50 MB)
   Average: 1,103.85 ms, 2203.09 MB across 3 languages

   Language                  Time (ms)  Time #  vs best       Peak RSS  RAM #  vs best
   ------------------------------------------------------------------------------
   Go                         309.2760       1    1.00x       17.33 MB      1    1.00x
   Nyra (Zero Types)         1475.3800       2    4.77x     3281.45 MB      2  189.37x
   Nyra (Explicit Types)     1526.9020       3    4.94x     3310.50 MB      3  191.05x
   Insights:
     • Fastest runtime: Go (309.28 ms mean)
     • Lowest peak memory: Go (17.33 MB)
     • Go is 4.77× faster than Nyra (Zero Types) on this suite.
     • Go is 4.94× faster than Nyra (Explicit Types) on this suite.

## strings_substring
   substring slices
   Fastest: Nyra (Zero Types) (4.28 ms)
   Slowest: Nyra (Explicit Types) (4.71 ms)
   Lowest RAM: Nyra (Zero Types) (2.56 MB)
   Highest RAM: Nyra (Zero Types) (2.56 MB)
   Average: 4.49 ms, 2.56 MB across 2 languages

   Language                  Time (ms)  Time #  vs best       Peak RSS  RAM #  vs best
   ------------------------------------------------------------------------------
   Nyra (Zero Types)            4.2802       1    1.00x        2.56 MB      1    1.00x
   Nyra (Explicit Types)        4.7069       2    1.10x        2.56 MB      2    1.00x
   Insights:
     • Fastest runtime: Nyra (Zero Types) (4.28 ms mean)
     • Lowest peak memory: Nyra (Zero Types) (2.56 MB)

## strings_replace
   str_replace
   Fastest: Nyra (Zero Types) (5.19 ms)
   Slowest: Nyra (Explicit Types) (5.53 ms)
   Lowest RAM: Nyra (Zero Types) (2.56 MB)
   Highest RAM: Nyra (Zero Types) (2.56 MB)
   Average: 5.36 ms, 2.56 MB across 2 languages

   Language                  Time (ms)  Time #  vs best       Peak RSS  RAM #  vs best
   ------------------------------------------------------------------------------
   Nyra (Zero Types)            5.1886       1    1.00x        2.56 MB      1    1.00x
   Nyra (Explicit Types)        5.5296       2    1.07x        2.56 MB      2    1.00x
   Insights:
     • Fastest runtime: Nyra (Zero Types) (5.19 ms mean)
     • Lowest peak memory: Nyra (Zero Types) (2.56 MB)

## strings_split
   strstr + substring split
   Fastest: Nyra (Explicit Types) (4.64 ms)
   Slowest: Nyra (Zero Types) (4.68 ms)
   Lowest RAM: Nyra (Explicit Types) (2.56 MB)
   Highest RAM: Nyra (Zero Types) (2.69 MB)
   Average: 4.66 ms, 2.62 MB across 2 languages

   Language                  Time (ms)  Time #  vs best       Peak RSS  RAM #  vs best
   ------------------------------------------------------------------------------
   Nyra (Explicit Types)        4.6424       1    1.00x        2.56 MB      1    1.00x
   Nyra (Zero Types)            4.6796       2    1.01x        2.69 MB      2    1.05x
   Insights:
     • Fastest runtime: Nyra (Explicit Types) (4.64 ms mean)
     • Lowest peak memory: Nyra (Explicit Types) (2.56 MB)

## strings_utf8
   UTF-8 byte iterate (char_at)
   Fastest: Nyra (Zero Types) (8.51 ms)
   Slowest: Nyra (Explicit Types) (8.57 ms)
   Lowest RAM: Nyra (Zero Types) (1.02 MB)
   Highest RAM: Nyra (Zero Types) (1.02 MB)
   Average: 8.54 ms, 1.02 MB across 2 languages

   Language                  Time (ms)  Time #  vs best       Peak RSS  RAM #  vs best
   ------------------------------------------------------------------------------
   Nyra (Zero Types)            8.5089       1    1.00x        1.02 MB      1    1.00x
   Nyra (Explicit Types)        8.5726       2    1.01x        1.02 MB      2    1.00x
   Insights:
     • Fastest runtime: Nyra (Zero Types) (8.51 ms mean)
     • Lowest peak memory: Nyra (Zero Types) (1.02 MB)

## collections_hashmap
   HashMap insert/get (string keys)
   Fastest: Go (6.03 ms)
   Slowest: Nyra (Explicit Types) (34.87 ms)
   Lowest RAM: Go (3.75 MB)
   Highest RAM: Nyra (Explicit Types) (8.56 MB)
   Average: 25.12 ms, 6.92 MB across 3 languages

   Language                  Time (ms)  Time #  vs best       Peak RSS  RAM #  vs best
   ------------------------------------------------------------------------------
   Go                           6.0268       1    1.00x        3.75 MB      1    1.00x
   Nyra (Zero Types)           34.4784       2    5.72x        8.44 MB      2    2.25x
   Nyra (Explicit Types)       34.8680       3    5.79x        8.56 MB      3    2.28x
   Insights:
     • Fastest runtime: Go (6.03 ms mean)
     • Lowest peak memory: Go (3.75 MB)
     • Go is 5.72× faster than Nyra (Zero Types) on this suite.
     • Go is 5.79× faster than Nyra (Explicit Types) on this suite.

## collections_hashset
   HashSet insert/contains
   Fastest: Nyra (Zero Types) (34.41 ms)
   Slowest: Nyra (Explicit Types) (34.59 ms)
   Lowest RAM: Nyra (Explicit Types) (8.44 MB)
   Highest RAM: Nyra (Zero Types) (8.47 MB)
   Average: 34.50 ms, 8.45 MB across 2 languages

   Language                  Time (ms)  Time #  vs best       Peak RSS  RAM #  vs best
   ------------------------------------------------------------------------------
   Nyra (Zero Types)           34.4070       1    1.00x        8.47 MB      2    1.00x
   Nyra (Explicit Types)       34.5860       2    1.01x        8.44 MB      1    1.00x
   Insights:
     • Fastest runtime: Nyra (Zero Types) (34.41 ms mean)
     • Lowest peak memory: Nyra (Explicit Types) (8.44 MB)

## collections_vec_push
   Vec push growth
   Fastest: Nyra (Zero Types) (3.94 ms)
   Slowest: Rust (6.02 ms)
   Lowest RAM: Nyra (Zero Types) (2.98 MB)
   Highest RAM: Go (8.11 MB)
   Average: 4.90 ms, 4.33 MB across 4 languages

   Language                  Time (ms)  Time #  vs best       Peak RSS  RAM #  vs best
   ------------------------------------------------------------------------------
   Nyra (Zero Types)            3.9401       1    1.00x        2.98 MB      1    1.00x
   Nyra (Explicit Types)        4.2276       2    1.07x        3.05 MB      2    1.02x
   Go                           5.4004       3    1.37x        8.11 MB      4    2.72x
   Rust                         6.0170       4    1.53x        3.19 MB      3    1.07x
   Insights:
     • Fastest runtime: Nyra (Zero Types) (3.94 ms mean)
     • Lowest peak memory: Nyra (Zero Types) (2.98 MB)
     • Nyra (Zero Types) is 1.37× faster than Go on this suite.
     • Nyra (Zero Types) uses 2.7× less RAM than Go (peak RSS).
     • Nyra (Zero Types) is 1.53× faster than Rust on this suite.
     • Nyra (Explicit Types) is 1.28× faster than Go on this suite.
     • Nyra (Explicit Types) uses 2.7× less RAM than Go (peak RSS).
     • Nyra (Explicit Types) is 1.42× faster than Rust on this suite.

## collections_vec_pop
   Vec push then pop all
   Fastest: Nyra (Zero Types) (4.88 ms)
   Slowest: Nyra (Explicit Types) (5.31 ms)
   Lowest RAM: Nyra (Zero Types) (2.98 MB)
   Highest RAM: Nyra (Zero Types) (2.98 MB)
   Average: 5.09 ms, 2.98 MB across 2 languages

   Language                  Time (ms)  Time #  vs best       Peak RSS  RAM #  vs best
   ------------------------------------------------------------------------------
   Nyra (Zero Types)            4.8806       1    1.00x        2.98 MB      1    1.00x
   Nyra (Explicit Types)        5.3084       2    1.09x        2.98 MB      2    1.00x
   Insights:
     • Fastest runtime: Nyra (Zero Types) (4.88 ms mean)
     • Lowest peak memory: Nyra (Zero Types) (2.98 MB)

## collections_sort
   shell-sort pass + sum
   Fastest: Nyra (Zero Types) (2.47 ms)
   Slowest: Nyra (Explicit Types) (2.58 ms)
   Lowest RAM: Nyra (Explicit Types) (1.27 MB)
   Highest RAM: Nyra (Zero Types) (1.30 MB)
   Average: 2.53 ms, 1.28 MB across 2 languages

   Language                  Time (ms)  Time #  vs best       Peak RSS  RAM #  vs best
   ------------------------------------------------------------------------------
   Nyra (Zero Types)            2.4734       1    1.00x        1.30 MB      2    1.02x
   Nyra (Explicit Types)        2.5803       2    1.04x        1.27 MB      1    1.00x
   Insights:
     • Fastest runtime: Nyra (Zero Types) (2.47 ms mean)
     • Lowest peak memory: Nyra (Explicit Types) (1.27 MB)

## algorithms_qsort
   partition-style mod sum
   Fastest: Nyra (Zero Types) (2.45 ms)
   Slowest: Nyra (Explicit Types) (2.47 ms)
   Lowest RAM: Nyra (Zero Types) (1.02 MB)
   Highest RAM: Nyra (Zero Types) (1.02 MB)
   Average: 2.46 ms, 1.02 MB across 2 languages

   Language                  Time (ms)  Time #  vs best       Peak RSS  RAM #  vs best
   ------------------------------------------------------------------------------
   Nyra (Zero Types)            2.4517       1    1.00x        1.02 MB      1    1.00x
   Nyra (Explicit Types)        2.4749       2    1.01x        1.02 MB      2    1.00x
   Insights:
     • Fastest runtime: Nyra (Zero Types) (2.45 ms mean)
     • Lowest peak memory: Nyra (Zero Types) (1.02 MB)

## algorithms_mergesort
   merge-style mod sum
   Fastest: Nyra (Zero Types) (2.28 ms)
   Slowest: Nyra (Explicit Types) (2.49 ms)
   Lowest RAM: Nyra (Zero Types) (1.02 MB)
   Highest RAM: Nyra (Zero Types) (1.02 MB)
   Average: 2.38 ms, 1.02 MB across 2 languages

   Language                  Time (ms)  Time #  vs best       Peak RSS  RAM #  vs best
   ------------------------------------------------------------------------------
   Nyra (Zero Types)            2.2752       1    1.00x        1.02 MB      1    1.00x
   Nyra (Explicit Types)        2.4933       2    1.10x        1.02 MB      2    1.00x
   Insights:
     • Fastest runtime: Nyra (Zero Types) (2.28 ms mean)
     • Lowest peak memory: Nyra (Zero Types) (1.02 MB)

## algorithms_binary_search
   binary search probes
   Fastest: Nyra (Zero Types) (2.10 ms)
   Slowest: Nyra (Explicit Types) (2.31 ms)
   Lowest RAM: Nyra (Zero Types) (1.02 MB)
   Highest RAM: Nyra (Zero Types) (1.02 MB)
   Average: 2.21 ms, 1.02 MB across 2 languages

   Language                  Time (ms)  Time #  vs best       Peak RSS  RAM #  vs best
   ------------------------------------------------------------------------------
   Nyra (Zero Types)            2.1046       1    1.00x        1.02 MB      1    1.00x
   Nyra (Explicit Types)        2.3133       2    1.10x        1.02 MB      2    1.00x
   Insights:
     • Fastest runtime: Nyra (Zero Types) (2.10 ms mean)
     • Lowest peak memory: Nyra (Zero Types) (1.02 MB)

## algorithms_json_parse
   json_get_i32 hot loop
   Fastest: Go (3.54 ms)
   Slowest: Nyra (Explicit Types) (16.23 ms)
   Lowest RAM: Nyra (Zero Types) (1.02 MB)
   Highest RAM: Go (3.52 MB)
   Average: 11.91 ms, 1.85 MB across 3 languages

   Language                  Time (ms)  Time #  vs best       Peak RSS  RAM #  vs best
   ------------------------------------------------------------------------------
   Go                           3.5428       1    1.00x        3.52 MB      3    3.46x
   Nyra (Zero Types)           15.9545       2    4.50x        1.02 MB      1    1.00x
   Nyra (Explicit Types)       16.2291       3    4.58x        1.02 MB      2    1.00x
   Insights:
     • Fastest runtime: Go (3.54 ms mean)
     • Lowest peak memory: Nyra (Zero Types) (1.02 MB)
     • Go is 4.50× faster than Nyra (Zero Types) on this suite.
     • Nyra (Zero Types) uses 3.5× less RAM than Go (peak RSS).
     • Go is 4.58× faster than Nyra (Explicit Types) on this suite.
     • Nyra (Explicit Types) uses 3.5× less RAM than Go (peak RSS).

## algorithms_regex
   regex_is_match
   Fastest: Nyra (Zero Types) (18.55 ms)
   Slowest: Nyra (Explicit Types) (18.84 ms)
   Lowest RAM: Nyra (Explicit Types) (1.05 MB)
   Highest RAM: Nyra (Zero Types) (1.11 MB)
   Average: 18.69 ms, 1.08 MB across 2 languages

   Language                  Time (ms)  Time #  vs best       Peak RSS  RAM #  vs best
   ------------------------------------------------------------------------------
   Nyra (Zero Types)           18.5455       1    1.00x        1.11 MB      2    1.06x
   Nyra (Explicit Types)       18.8368       2    1.02x        1.05 MB      1    1.00x
   Insights:
     • Fastest runtime: Nyra (Zero Types) (18.55 ms mean)
     • Lowest peak memory: Nyra (Explicit Types) (1.05 MB)

## concurrency_spawn_tasks
   spawn N lightweight tasks
   Fastest: Go (3.23 ms)
   Slowest: Nyra (Explicit Types) (31.58 ms)
   Lowest RAM: Nyra (Zero Types) (1.39 MB)
   Highest RAM: Go (3.47 MB)
   Average: 22.11 ms, 2.09 MB across 3 languages

   Language                  Time (ms)  Time #  vs best       Peak RSS  RAM #  vs best
   ------------------------------------------------------------------------------
   Go                           3.2276       1    1.00x        3.47 MB      3    2.49x
   Nyra (Zero Types)           31.5212       2    9.77x        1.39 MB      1    1.00x
   Nyra (Explicit Types)       31.5756       3    9.78x        1.42 MB      2    1.02x
   Insights:
     • Fastest runtime: Go (3.23 ms mean)
     • Lowest peak memory: Nyra (Zero Types) (1.39 MB)
     • Go is 9.77× faster than Nyra (Zero Types) on this suite.
     • Nyra (Zero Types) uses 2.5× less RAM than Go (peak RSS).
